OC,soil_types,tem,tp,pm,st,slope,twi,lc_1,ele,NDVI
5.8,31,291.1045532,1.88E-08,2140,4,1.235859156,13.04664612,13,151.3343506,0.280000001
12.1,31,290.9153442,1.92E-08,2140,3,2.306915045,23.93504143,13,207.3824768,0.236000001
18.5,38,288.5740051,2.68E-08,4110,2,2.751607895,12.34092331,23,544.3278809,0.596000016
44.8,83,286.3831787,2.85E-08,2110,3,2.739570141,23.76292992,31,1251.94397,0.575999975
60.9,76,288.1114807,2.70E-08,1211,2,15.8571043,8.859513283,32,856.1248779,0.331999987
14.7,31,289.5193176,1.99E-08,2140,4,5.981597424,22.97916222,17,590.192627,0.275999993
21.7,126,288.4135132,2.21E-08,2140,4,6.507835865,22.89417267,17,605.1373291,0.340000004
8.4,31,288.3696289,2.26E-08,2140,4,3.953011751,9.579916,12,681.8070679,0.360000014
15.2,31,289.0682983,2.02E-08,2140,3,3.642690182,10.7605238,17,562.5389404,0.316000015
26.4,83,285.7876587,2.65E-08,2110,3,3.66221571,23.47206116,28,1110.062256,0.319999993
11.8,31,289.0964355,1.87E-08,2110,2,0.501145661,15.9775486,12,455.3356628,0.244000003
22.8,31,289.5903015,1.76E-08,2140,4,3.549935579,9.687771797,12,480.9182434,0.216000006
10.9,47,291.2384033,1.57E-08,5400,2,6.216570854,9.124829292,1,78.29880524,0.284000009
7.9,31,287.9277344,1.78E-08,2110,2,2.99093008,11.46892738,17,591.1587524,0.272000015
12.8,31,289.1470032,1.72E-08,2140,4,1.880832911,14.17405605,12,422.6818542,0.231999993
15,31,287.5334167,1.96E-08,2140,4,5.34967041,23.09154701,17,789.9990845,0.351999998
46.5,31,284.8753357,2.22E-08,2110,2,3.298162222,11.14780617,29,1383.14624,0.252000004
11.7,31,286.1078491,2.21E-08,2110,2,6.042211533,10.53979015,13,1066.585449,0.372000009
42.4,34,289.5745239,1.61E-08,4110,2,3.025854588,23.66336823,21,443.1408386,0.432000011
16.5,31,286.5975647,2.28E-08,2140,4,5.505832672,9.247089386,17,880.5159912,0.272000015
17.5,31,286.0541077,2.30E-08,2140,4,1.643922329,24.27413368,28,1130.60437,0.252000004
12.3,31,287.6216125,2.14E-08,2140,3,7.219580173,8.973873138,20,829.5718384,0.268000007
10.7,31,286.3601379,2.18E-08,2140,3,2.596314192,23.81671524,12,1136.895874,0.195999995
15.5,31,286.6767273,2.05E-08,2140,3,5.639220238,9.916147232,17,1085.642578,0.280000001
56.6,31,285.8657837,1.94E-08,2140,4,3.428313732,11.33215714,24,1249.630737,0.456
28,31,286.9502869,2.01E-08,2140,4,1.88138032,11.42222977,28,1079.208008,0.316000015
111.6,31,286.5691833,1.84E-08,2110,2,3.787224054,11.82011604,28,1118.551147,0.34799999
121.1,31,286.20401,1.85E-08,2110,2,6.14046526,22.95275307,28,1258.646851,0.43599999
9.9,31,286.836792,1.81E-08,2110,2,5.002012253,23.15910721,16,991.1271973,0.39199999
57.6,31,285.7754822,2.08E-08,2140,4,10.54427719,11.63354206,28,1069.001831,0.351999998
16.9,34,286.0541687,1.93E-08,4110,2,13.17017078,22.17570496,28,1391.692261,0.400000006
6.4,34,287.1933899,1.59E-08,4110,2,7.727199554,22.72065735,15,1057.012207,0.368000001
7.6,34,286.5673523,1.70E-08,4110,2,2.746465206,23.76041222,16,1092.604248,0.247999996
10.1,34,288.5248108,1.59E-08,4110,2,2.93995142,23.69222069,16,736.1878052,0.211999997
10.5,34,286.8295593,1.75E-08,4110,2,10.25406742,22.4330616,16,1198.14502,0.404000014
43.1,31,286.2823486,1.59E-08,2110,2,8.230367661,22.65675163,20,1204.841797,0.344000012
21.2,28,286.9110107,1.42E-08,1211,3,9.534489632,22.50728607,23,1200.450073,0.344000012
15,91,291.8293457,7.13E-09,1220,1,1.32787776,24.48773193,13,54.48209,0.148000002
10.5,31,289.932312,1.05E-08,5400,2,1.558516026,12.81458664,20,520.6618652,0.180000007
28.2,90,289.7107239,1.63E-08,4200,2,1.871981263,24.14414024,23,103.3664017,0.39199999
33.5,108,289.4901733,1.79E-08,5311,1,,,28,12.43324947,0.488000005
52.1,90,289.5656738,1.70E-08,4200,2,0.620556414,14.42881393,13,35.4891243,0.56400001
48.1,92,289.5007324,1.54E-08,4110,2,3.772041559,11.41867924,28,336.118103,0.680000007
26.2,90,289.3609314,1.73E-08,1000,1,1.139700413,24.64059448,18,189.2308197,0.467999995
53.6,87,289.8702393,1.71E-08,2111,4,0.378617823,25.7427063,20,32.29623795,0.423999995
48.9,87,289.9816589,1.68E-08,2111,4,0.900183976,12.15966892,21,3.955211639,0.363999993
21.1,87,290.0006409,1.67E-08,2111,4,0.709913909,25.11405373,19,111.1184311,0.316000015
26,32,290,1.66E-08,2115,4,0.863885462,24.91773224,28,162.4347687,0.368000001
24.8,116,289.1899109,1.67E-08,4110,2,4.672563076,23.22756386,23,444.1547546,0.56400001
30,32,290.1555786,1.68E-08,2115,4,1.519008517,13.90498638,19,83.83378601,0.34799999
20.7,87,290.0796509,1.67E-08,2111,4,4.019420624,9.563201904,17,158.6477203,0.395999998
21.6,87,289.8039246,1.69E-08,2111,4,1.017768621,24.75377464,19,244.3107758,0.472000003
57.2,32,290.0111389,1.70E-08,2115,4,2.307923794,11.21770477,19,202.2014465,0.372000009
23,116,289.696228,1.69E-08,4110,2,4.868226528,23.18635178,21,424.7796326,0.483999997
6.2,116,289.59552,1.59E-08,4110,2,1.140654087,16.27528763,29,243.0982819,0.331999987
13,115,289.056488,1.64E-08,4110,2,1.20008409,24.58895493,18,364.7434692,0.252000004
7.7,116,290.8080139,1.46E-08,4110,2,1.078939915,24.69539642,29,109.9100189,0.307999998
